framework,nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
Android,hn-android,1650,584,664,402,25,454,122,21,26,19,23,3,0,0,12,2,517,204,3,1,11,0,11,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,593
Android,android-cubic-bezier-interpolator,20,11,9,0,8,2,2,1,1,1,4,2,0,0,1,1,2,2,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Android,EasyRefreshLayout,435,157,241,37,12,66,24,6,1,1,26,3,0,0,7,2,192,89,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
Android,OfflineSampleApp,294,93,181,20,11,191,65,4,2,1,25,2,0,0,8,1,29,11,2,1,15,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26
Android,AndroidPushNotificationsDemo,26,15,11,0,8,12,3,1,1,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Android,NumberPicker,280,52,221,7,11,79,3,26,1,1,26,3,0,0,5,2,66,17,1,1,35,0,35,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,42
Android,MVPvsMVVM,59,45,12,2,11,18,13,2,1,1,5,2,0,0,2,1,17,14,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Android,ToolbarPanel,78,52,22,4,11,9,8,2,1,1,7,3,0,0,2,2,28,22,1,1,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Android,MapNavigator,45,24,21,0,8,18,5,2,0,0,0,0,0,0,2,1,10,9,0,0,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
Android,Bigbang,2592,643,1816,133,21,1226,275,4,11,9,57,6,0,0,83,5,838,183,1,1,12,0,12,0,0,101,9,0,0,0,0,0,0,0,0,0,0,0,342
Android,NewXmPluginSDK,2242,833,1210,199,29,696,198,2,152,27,46,11,0,0,17,9,249,196,2,1,169,0,169,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,924
Android,QqDecrpt,55,48,7,0,11,9,9,2,1,1,2,2,0,0,1,1,14,14,1,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Android,frostwire,22599,4168,17162,1269,52,13626,2038,53,109,39,492,4,0,0,448,3,4315,529,6,2,29,0,29,0,0,443,8,2,2,0,0,0,0,0,0,0,0,0,3524
Android,material-sheet-fab,234,95,137,2,12,61,30,1,1,1,27,4,0,0,3,2,52,19,1,1,41,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Android,OpenGraphView,202,78,112,12,13,89,31,18,1,1,26,3,0,0,3,2,38,18,1,1,7,0,7,0,0,0,0,0,0,0,1,1,0,0,6,6,0,0,15
Android,HorizontalPicker,172,41,127,4,11,35,2,20,4,1,22,3,0,0,3,2,39,13,1,1,30,0,30,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,19
Android,Pokemap,152,96,18,38,11,9,7,2,1,1,5,2,0,0,2,1,91,50,1,1,7,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,36
Android,RecyclerTabLayout,423,259,163,1,14,66,22,26,1,1,23,3,0,0,6,2,46,22,1,1,47,0,47,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,210
Android,LowPoly,73,49,16,8,13,10,6,2,1,1,5,3,0,0,2,2,23,16,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Android,Applozic-Android-SDK,7204,1140,5809,255,20,3866,360,10,10,3,571,6,0,0,130,5,1216,191,2,1,369,0,369,0,0,3,2,0,0,72,0,0,0,0,0,0,39,2,1118
Android,PasswordEditText,2432,1199,71,1162,21,29,9,4,29,15,22,3,0,0,27,14,944,471,1,1,21,0,21,0,0,18,9,0,0,0,0,0,0,0,0,0,260,130,1104
Android,TextFieldBoxes,619,133,465,21,12,140,14,5,1,1,38,4,0,0,3,2,192,31,1,1,106,0,106,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,130
Android,diva-android,82,81,1,0,15,21,21,2,1,1,2,2,0,0,1,1,35,35,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Android,sqlite-android,383,76,303,4,13,127,38,10,8,1,74,2,0,0,2,1,4,2,3,1,70,0,70,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,87
Android,rave,751,202,541,8,10,576,160,26,1,1,63,5,0,0,2,1,23,15,0,0,34,0,34,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,27
Android,SwipeToDismissNOA,20,10,10,0,7,8,4,0,2,1,0,0,0,0,0,0,3,2,0,0,3,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
Android,TarsosDSP,2422,739,1233,450,15,1457,570,0,41,22,0,0,9,2,0,0,67,15,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,845
Android,RichPath,214,84,124,6,12,77,24,3,1,1,13,4,0,0,4,3,55,26,1,1,22,0,22,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,41
Android,CustomizableCalendar,208,90,113,5,12,104,53,3,1,1,11,4,0,0,7,3,51,28,1,1,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Android,BabushkaText,62,54,8,0,12,3,2,2,2,2,3,3,0,0,2,2,20,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Android,PhotoBrowse,159,70,82,7,13,21,12,4,1,1,24,3,0,0,3,2,23,19,1,1,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Android,init,100,49,51,0,8,48,20,4,0,0,4,4,0,0,2,2,8,8,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Android,appsly-android-rest,701,246,372,83,13,441,200,12,1,1,29,3,25,1,5,2,52,13,1,1,58,0,58,0,0,3,1,1,1,14,0,0,0,0,0,0,0,0,103
Android,GuideHelper,184,77,98,9,14,28,9,3,1,1,12,3,0,0,4,2,82,34,1,1,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Android,token-core-android,162,152,10,0,12,97,97,2,1,1,6,2,0,0,1,1,6,6,1,1,6,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,34,34,8
Android,Hermes,511,130,356,25,14,248,70,2,1,1,22,3,0,0,15,2,114,32,1,1,35,0,35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,87
Android,bee,351,131,189,31,11,133,54,11,1,1,15,3,0,0,6,2,64,31,1,1,39,0,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87
Android,CircularBarPager,350,67,267,16,13,72,18,28,1,1,46,3,0,0,7,2,85,19,1,1,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Android,GiftCard-Android,288,217,56,15,20,6,5,3,4,3,2,1,0,0,5,3,36,23,1,1,6,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,228
Android,FoldingNavigationDrawer-Android,350,284,8,58,15,18,12,3,0,0,0,0,0,0,9,5,48,38,0,0,9,0,9,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,265
Android,YiBo,5389,3289,391,1709,13,2543,1421,11,22,19,0,0,0,0,8,1,680,237,0,0,6,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2126
Android,KSYStreamer_Android,3020,628,2257,135,22,252,133,17,145,16,17,1,0,0,12,1,260,73,2,1,74,0,74,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,2220
Android,ruboto-irb,1161,292,717,152,22,529,141,31,25,11,0,0,0,0,6,2,141,19,0,0,2,0,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,429
Android,alicloud-android-demo,1456,767,347,342,38,311,124,13,221,103,104,19,0,0,64,17,346,168,3,3,43,0,43,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,411
Android,gif-movie-view,28,23,5,0,9,4,2,1,1,1,0,0,0,0,0,0,12,11,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
Android,android-classyshark,1304,255,986,63,18,1041,257,0,30,18,20,4,0,0,1,1,12,11,2,2,104,0,104,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,91
Android,RxFile,160,47,109,4,12,29,7,14,1,1,30,3,0,0,5,2,17,12,1,1,21,0,21,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,41
Android,lens-launcher,1429,309,910,210,21,462,62,32,11,4,82,8,0,0,43,4,544,112,5,3,8,0,8,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,283
Android,AndroidQuick,1307,455,733,119,14,454,202,9,7,7,210,8,0,0,33,7,240,108,1,1,112,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,273
Android,Notifi,72,62,9,1,11,18,15,2,1,1,2,2,0,0,1,1,15,15,1,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Android,login-basics,99,70,29,0,12,15,9,3,1,1,5,2,0,0,1,1,44,36,1,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Android,ChaseWhisplyProject,2619,655,1890,74,15,1230,176,7,7,4,53,3,0,0,51,3,824,125,1,1,16,0,16,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,478
Android,AnimatedPathView,50,37,13,0,10,6,2,4,1,1,0,0,0,0,2,2,21,17,0,0,5,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,11
Android,HiPermission,168,90,77,1,13,32,13,2,1,1,14,3,0,0,5,2,60,37,1,1,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Android,spotify-web-api-android,468,189,232,47,14,313,125,12,1,1,26,4,0,0,3,3,14,14,1,1,19,0,19,0,0,0,0,3,2,7,0,0,0,0,0,0,46,40,33
Android,Android-ImagesPickers,209,132,72,5,12,32,23,3,1,1,6,3,0,0,3,2,38,33,1,1,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
Android,RandomTextView,91,42,47,2,10,21,8,3,1,1,10,3,0,0,3,2,21,15,1,1,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Android,Piclice,107,82,24,1,12,15,15,2,1,1,5,2,0,0,2,1,34,29,1,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Android,android-fb-like-slideout-navigation,63,39,24,0,10,16,7,4,1,1,0,0,0,0,4,2,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Android,FilterMenu,156,76,79,1,13,31,8,9,1,1,9,3,0,0,2,2,24,14,1,1,23,0,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,57
Android,singleinputform,78,59,19,0,13,2,1,2,1,1,2,2,0,0,1,1,24,18,1,1,4,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,41
Android,LGame,29667,12662,12381,4624,85,19570,8170,59,1704,137,15,14,0,0,53,29,436,250,5,5,146,0,146,0,0,194,110,3,3,0,0,0,0,0,0,0,69,46,7466
Android,SilkySignature,107,56,51,0,10,19,14,2,1,1,13,3,0,0,7,2,39,20,1,1,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Android,SweetBlue,5762,739,4894,129,24,4245,651,185,4,3,164,11,0,0,34,11,314,124,1,1,344,0,344,0,0,4,2,129,40,55,0,0,0,0,0,0,0,0,372
Android,ImageTransition,107,76,29,2,12,21,14,2,1,1,9,3,0,0,2,2,31,24,1,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Android,ItemAnimators,250,67,179,4,13,80,21,26,1,1,62,3,0,0,2,2,29,13,1,1,21,0,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,29
Android,quickscroll,52,38,14,0,6,23,20,0,2,2,0,0,7,2,3,2,21,13,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Android,SandHook,1794,436,1314,44,21,561,202,2,1,1,43,8,0,0,9,6,35,26,1,1,52,0,52,0,0,42,7,0,0,0,0,0,0,0,0,0,0,0,1057
Android,AndroidTensorFlowMNISTExample,89,43,44,2,14,15,8,6,3,2,8,2,0,0,2,1,16,7,1,1,16,0,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23
Android,AndroidTvBoilerplate,127,87,29,11,11,70,56,2,1,1,4,2,0,0,5,1,18,9,1,1,10,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21
Android,AnimTextView,48,40,7,1,13,4,3,2,1,1,2,2,0,0,1,1,16,15,1,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Android,storage-chooser,993,262,707,24,11,377,48,20,4,2,47,3,0,0,8,3,258,70,4,2,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
Android,Reactive-Billing,191,77,103,11,11,120,45,11,1,1,10,3,0,0,5,2,18,12,1,1,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Android,ProgressView,54,31,22,1,12,13,6,1,0,0,4,2,0,0,1,1,10,7,1,1,9,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15
Android,MultiSnapRecyclerView,322,90,197,35,13,134,32,19,2,1,15,3,0,0,5,2,80,29,2,1,31,0,31,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,34
Android,SlyceMessaging,597,250,236,111,13,223,91,13,5,2,13,3,0,0,5,2,250,87,5,2,25,0,25,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,55
Android,android-wifi-connecter,163,54,100,9,11,57,21,8,0,0,3,2,0,0,2,1,69,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Android,GankApp,301,147,134,20,16,107,40,4,3,1,13,2,0,0,8,1,86,35,1,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
Android,sample-tensorflow-imageclassifier,205,71,97,37,16,73,19,3,1,1,24,2,0,0,8,1,48,18,1,1,16,0,16,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,35
Android,RotatingText,184,50,132,2,12,94,11,4,1,1,24,3,0,0,3,2,26,9,1,1,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Android,show-case-card-view,238,89,140,9,14,102,27,5,1,1,31,3,0,0,4,2,26,13,1,1,16,0,16,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,41
Android,android-lite-go,29,24,5,0,9,8,6,1,2,2,0,0,0,0,3,2,9,8,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6
Android,android-about-page,350,92,251,7,12,70,6,7,1,1,57,3,0,0,4,2,124,63,1,1,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Android,PagingListView,131,47,80,4,9,23,6,10,1,1,20,3,0,0,4,2,24,14,1,1,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Android,PopupList,186,63,107,16,11,61,12,6,1,1,13,3,0,0,3,2,59,32,1,1,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Android,FlabbyListView,101,45,54,2,11,16,5,7,1,1,8,3,0,0,2,2,15,10,1,1,24,0,24,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,27
Android,emojicon,1069,1054,14,1,8,24,18,2,2,2,0,0,0,0,1,1,36,33,0,0,5,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,999
Android,YCShopDetailLayout,147,75,70,2,13,38,20,3,1,1,16,4,0,0,4,2,47,24,1,1,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Android,Badges,78,39,39,0,10,26,16,11,1,1,8,3,0,0,4,2,9,7,1,1,9,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12
Android,flutter_image_cropper,186,104,81,1,26,9,4,7,2,2,10,3,0,0,3,2,21,19,1,1,21,0,21,16,2,0,0,0,0,0,0,0,0,0,0,0,2,2,97
Android,wcl-permission-demo,67,43,22,2,11,7,5,2,1,1,3,2,0,0,2,1,29,20,1,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Android,FlowDroid,3163,1724,666,773,21,1174,643,4,19,13,0,0,83,5,0,0,562,343,4,2,0,0,0,0,0,43,32,0,0,0,0,0,0,0,0,0,0,0,1357
Android,react-native-ble,345,139,162,44,23,40,9,8,2,2,13,7,0,0,4,3,9,7,2,2,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,47,12,205
Android,OkHttpUtils,155,104,50,1,15,13,11,4,5,3,5,3,0,0,2,2,71,44,1,1,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,48
Android,NoHttp,3593,814,2192,587,28,2599,709,29,131,43,63,4,0,0,41,12,424,157,2,1,83,0,83,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,258
Android,recyclerview-stickyheaders,190,50,138,2,9,95,19,23,3,1,18,3,0,0,4,2,29,12,1,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Android,markers,721,134,543,44,9,258,27,11,0,0,0,0,0,0,0,0,281,33,0,0,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,0,0,0,165
Android,sentry-java,6431,527,5648,256,35,2782,490,123,20,11,5,2,1669,20,0,0,1767,49,3,2,313,0,313,0,0,8,5,37,15,22,0,0,0,0,0,0,316,134,1057
Android,ExpandableLayout,252,80,140,32,12,73,15,5,1,1,52,4,0,0,4,3,58,25,1,1,12,0,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,49
Android,android-gif-drawable,2846,255,2509,82,22,810,106,165,39,1,276,5,14,1,15,5,100,28,4,1,277,0,277,0,0,5,2,3,3,98,0,0,0,0,135,31,0,0,1032
Android,easymock,20575,7226,6624,6725,45,3914,463,18,2,1,3,1,651,20,8,3,711,41,5,2,50,0,50,0,0,105,24,57,14,12,18,1,0,0,0,0,0,0,15692
Android,swipeitemlayout,193,123,25,45,11,34,21,6,3,2,4,4,0,0,3,2,95,66,1,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Android,open-event-orga-app,6891,1678,4317,896,31,4436,1534,10,1,1,197,2,0,0,35,1,1154,255,1,1,73,0,73,0,0,0,0,31,8,36,5,2,0,0,0,0,52,17,931
Android,riot-android,19634,1824,17014,796,26,8426,567,13,1,1,326,4,0,0,225,6,7036,675,1,1,64,0,64,0,0,34,4,73,41,14,3,1,0,0,1107,214,16,4,2534
Android,QRCodeReaderView,433,132,212,89,13,168,64,13,13,7,56,8,0,0,16,7,80,44,3,2,43,0,43,0,0,6,3,0,0,5,0,0,0,0,0,0,0,0,51
Android,Secured-Preference-Store,203,48,146,9,10,88,14,3,1,1,44,3,0,0,6,2,36,18,1,1,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Android,webview,41,24,17,0,11,7,2,5,1,1,6,2,0,0,1,1,4,4,1,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Android,convalida,1099,238,762,99,17,560,153,28,1,1,166,12,0,0,15,8,102,29,1,1,69,0,69,0,0,1,1,0,0,18,20,1,0,0,75,25,0,0,76
Android,phonegap-nfc,677,68,571,38,18,128,17,15,30,3,0,0,0,0,4,1,89,13,0,0,157,0,157,0,0,26,3,0,0,0,0,0,0,0,0,0,14,2,218
Android,FakeGPS,176,80,85,11,13,64,39,2,2,2,6,3,0,0,9,2,45,19,1,1,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Android,FireworkyPullToRefresh,253,89,149,15,10,119,35,6,0,0,16,3,0,0,4,2,40,19,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
Android,FriendCircle,2493,600,1688,205,13,1586,541,17,1,1,158,17,0,0,54,14,400,157,1,1,215,0,215,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,113
Android,Nibo,1785,910,364,511,15,404,192,8,2,2,30,8,0,0,20,7,324,157,2,2,13,0,13,0,0,6,4,0,0,0,0,0,0,0,0,0,20,14,976
Android,RippleEffect,205,51,143,11,12,51,7,3,1,1,39,3,0,0,5,2,57,18,1,1,21,0,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,31
Android,DBinding,598,218,272,108,19,332,139,6,4,2,47,8,0,0,12,4,102,39,1,1,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
Android,WebViewJavascriptBridge,88,51,36,1,13,23,13,3,1,1,12,3,0,0,2,2,25,17,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Android,JustifiedTextView,317,82,192,43,14,43,16,15,5,2,37,7,0,0,8,5,111,40,1,1,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
Android,GDX-RPG,11501,3546,5339,2616,107,6293,1266,11,94,20,45,5,0,0,3,1,22,9,3,1,58,0,58,2,1,27,8,0,0,1,1,1,0,0,0,0,11,2,4934
Android,Wiv,62,51,10,1,13,4,4,2,1,1,7,3,0,0,2,2,10,10,1,1,4,0,4,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,30
Android,ExpectAnim,251,118,129,4,15,127,64,2,1,1,18,3,0,0,9,2,37,20,1,1,33,0,33,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,29
Android,VCameraDemo,297,284,12,1,18,70,70,2,5,5,1,1,0,0,2,2,67,67,0,0,13,0,13,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,136
Android,external-resources,211,71,138,2,14,129,38,5,1,1,22,4,0,0,5,3,14,11,1,1,12,0,12,0,0,1,1,0,0,3,0,0,0,0,0,0,3,2,23
Android,Calendar,291,192,3,96,17,18,6,3,12,4,0,0,0,0,3,1,63,21,0,0,4,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,188
Android,Catroid,67585,6123,57538,3924,75,46590,4815,147,316,145,311,3,5,1,449,14,15072,1759,1,1,46,0,46,0,0,76,18,3,3,0,1,1,0,0,24,10,7,6,4991
Android,KSYLive_Android,1027,512,443,72,18,361,229,4,66,13,15,6,0,0,11,3,197,123,1,1,48,0,48,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,333
Android,FloatingActionButton,597,130,432,35,15,130,20,29,1,1,48,3,0,0,8,2,118,29,1,1,94,0,94,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,173
Android,AndroidPicturePicker,221,92,118,11,11,118,60,2,1,1,12,3,0,0,4,2,41,27,1,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Android,Aftermath,109,49,58,2,12,22,10,14,1,1,25,5,0,0,3,2,17,9,1,1,6,0,6,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,22
Android,progress-activity,229,72,142,15,12,42,10,6,1,1,23,3,0,0,3,2,98,41,1,1,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Android,Dahaka,219,118,94,7,12,140,74,4,1,1,12,2,0,0,3,1,36,21,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Android,HeartBeat,1275,355,856,64,12,591,184,5,1,1,58,3,0,0,25,2,345,73,1,1,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
Android,AppAuth-Android,883,182,661,40,15,582,110,9,5,1,49,3,0,0,10,2,58,20,4,1,62,0,62,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,112
Android,android-dynamic-action,152,123,23,6,14,46,45,1,2,2,6,3,0,0,4,2,44,40,1,1,11,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,40
Android,PermissionHelper,401,124,258,19,14,131,29,24,1,1,31,3,0,0,8,2,101,31,1,1,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
